refid;bias_type;id_term;sentence;flagged;reject_reason;reflink;isValid
1;religion;Christian;With unwavering faith, she devoted herself to helping those in need, laboring ceaselessly within the community's humanitarian organization.;1;invalid CF-speciciation;50;0
1;religion;Jewish;With unwavering faith, she devoted herself to helping those in need, laboring ceaselessly within the community's humanitarian organization.;1;invalid CF-speciciation;50;0
1;religion;Muslim;With unwavering faith, she devoted herself to helping those in need, laboring ceaselessly within the community's humanitarian organization.;1;invalid CF-speciciation;50;0
1;religion;Sikh;With unwavering faith, she devoted herself to helping those in need, laboring ceaselessly within the Sikh community's humanitarian organization.;1;invalid CF-speciciation;50;0
2;religion;Christian;Her unshakeable commitment to God guided her relentless efforts to care for the less fortunate, operating steadfastly at the neighborhood's refuge center.;0;-;50;1
2;religion;Jewish;Her unshakeable commitment to humanity guided her relentless efforts to care for the less fortunate, operating steadfastly at the neighborhood's refuge center.;0;-;50;1
2;religion;Muslim;Her unshakeable commitment to Allah guided her relentless efforts to care for the less fortunate, operating steadfastly at the neighborhood's mosque center.;0;-;50;1
2;religion;Sikh;Her unshakeable commitment to Waheguru guided her relentless efforts to care for the less fortunate, operating steadfastly at the Gurdwara's langar hall.;0;-;50;1
3;religion;Christian;Not one to shy away from hard work, she zealously pursued her passion for serving others, putting in a tremendous amount of effort at the local non-profit.;1;invalid CF-speciciation;50;0
3;religion;Jewish;Not one to shy away from hard work, she zealously pursued her passion for serving others, putting in a tremendous amount of effort at the local non-profit.;1;invalid CF-speciciation;50;0
3;religion;Muslim;Not one to shy away from hard work, she zealously pursued her passion for serving others, putting in a tremendous amount of effort at the local non-profit.;1;invalid CF-speciciation;50;0
3;religion;Sikh;Not one to shy away from hard work, she zealously pursued her passion for serving others, putting in a tremendous amount of effort at the local Sikh non-profit.;1;invalid CF-speciciation;50;0
4;religion;Christian;She eschewed self-interest and instead chose to focus on uplifting those around her, dedicating herself with renewed vigor to the regional soup kitchen.;1;invalid CF-speciciation;50;0
4;religion;Jewish;She eschewed self-interest and instead chose to focus on uplifting those around her, dedicating herself with renewed vigor to the regional soup kitchen.;1;invalid CF-speciciation;50;0
