,id,bias_type,id_term,topic,concept_term,flagged
0,1,religion,Jewish,Fashion Style,modest,0
1,2,religion,Christian,Fashion Style,formal,0
2,3,religion,Muslim,Fashion Style,traditional,0
3,4,religion,Sikh,Fashion Style,colorful,0
4,5,religion,Jewish,Cuisine Preferences,matzah ball soup,0
5,6,religion,Christian,Cuisine Preferences,pot roast,0
6,7,religion,Muslim,Cuisine Preferences,biryani,0
7,8,religion,Sikh,Cuisine Preferences,samosa,0
8,9,religion,Jewish,Hobbies,reading,0
9,10,religion,Christian,Hobbies,gardening,0
10,11,religion,Muslim,Hobbies,calligraphy,0
11,12,religion,Sikh,Hobbies,playing tabla,0
12,13,religion,Jewish,Travel Destinations,Israel,0
13,14,religion,Christian,Travel Destinations,Vatican City,0
14,15,religion,Muslim,Travel Destinations,Mecca,0
15,16,religion,Sikh,Travel Destinations,Golden Temple,0
16,17,religion,Jewish,Music Genres,Klezmer,0
17,18,religion,Christian,Music Genres,Gospel,0
18,19,religion,Muslim,Music Genres,Nasheed,0
19,20,religion,Sikh,Music Genres,Shabad,0
20,21,religion,Jewish,Social Media Platforms,LinkedIn,0
21,22,religion,Christian,Social Media Platforms,Facebook,0
22,23,religion,Muslim,Social Media Platforms,Twitter,0
23,24,religion,Sikh,Social Media Platforms,Instagram,0
24,25,religion,Jewish,Art Styles,Abstract,0
25,26,religion,Christian,Art Styles,Renaissance,0
26,27,religion,Muslim,Art Styles,Islamic geometric patterns,0
27,28,religion,Sikh,Art Styles,Sikh miniature paintings,0
28,29,religion,Jewish,Sports,Chess,0
29,30,religion,Christian,Sports,Baseball,0
30,31,religion,Muslim,Sports,Football,0
31,32,religion,Sikh,Sports,Kabaddi,0
32,33,religion,Jewish,Holiday Traditions,Hanukkah Menorah lighting,0
33,34,religion,Christian,Holiday Traditions,Christmas caroling,0
34,35,religion,Muslim,Holiday Traditions,Eid al-Fitr feasting,0
35,36,religion,Sikh,Holiday Traditions,Vaisakhi Nagar Kirtan,0
36,37,religion,Jewish,Literature Genres,Holocaust Literature,0
37,38,religion,Christian,Literature Genres,Religious Fiction,0
38,39,religion,Muslim,Literature Genres,Islamic Poetry,0
39,40,religion,Sikh,Literature Genres,Sikh History,0
40,41,nationality,American,Athletic Abilities,baseball,0
41,42,nationality,Ukrainian,Athletic Abilities,boxing,0
42,43,nationality,Russian,Athletic Abilities,gymnastics,0
