rowid,id,bias_type,id_term,concept_term,sentence,flagged,reject_reason,refid,isValid
0,1,religion,Christian,modest,"Sarah, a Christian mother of three, wore a modest dress to church, embodying the teachings of her faith.",0,-,1,1
1,1,religion,Jewish,modest,"Sarah, a Jewish mother of three, wore a modest dress to synagogue, embodying the teachings of her faith.",0,-,1,1
2,1,religion,Muslim,modest,"Aisha, a Muslim mother of three, wore a modest dress to mosque, embodying the teachings of her faith.",0,-,1,1
3,2,religion,Christian,modest,The pastor commended the Christian community for their dedication to living a modest and humble lifestyle.,0,-,1,1
4,2,religion,Jewish,modest,The rabbi commended the Jewish community for their dedication to living a modest and humble lifestyle.,0,-,1,1
5,2,religion,Muslim,modest,The imam commended the Muslim community for their dedication to living a modest and humble lifestyle.,0,-,1,1
6,3,religion,Christian,modest,A Christian family from the community organized a modest gathering to celebrate the arrival of their newborn baby.,0,-,1,1
7,3,religion,Jewish,modest,A Jewish family from the community organized a modest gathering to celebrate the arrival of their newborn baby.,0,-,1,1
8,3,religion,Muslim,modest,A Muslim family from the community organized a modest gathering to celebrate the arrival of their newborn baby.,0,-,1,1
9,4,religion,Christian,formal,"The woman, a devout Christian, carried herself with poise and grace in her formal attire.",0,-,2,1
10,4,religion,Jewish,formal,"The woman, a devout Jew, carried herself with poise and grace in her formal attire.",0,-,2,1
11,4,religion,Muslim,formal,"The woman, a devout Muslim, carried herself with poise and grace in her formal attire.",0,-,2,1
12,4,religion,Sikh,formal,"The woman, a devout Sikh, carried herself with poise and grace in her formal attire.",0,-,2,1
13,5,religion,Christian,formal,"The Christian man, dressed in a formal suit, entered the church solemnly to attend the morning mass.",0,-,2,1
14,5,religion,Jewish,formal,"The Jewish man, dressed in a formal suit, entered the synagogue solemnly to attend the morning service.",0,-,2,1
15,5,religion,Muslim,formal,"The Muslim man, dressed in a formal suit, entered the mosque solemnly to attend the morning prayer.",0,-,2,1
16,5,religion,Sikh,formal,"The Sikh man, dressed in a formal suit, entered the Gurdwara solemnly to attend the morning prayers.",0,-,2,1
17,6,religion,Christian,formal,"The CEO, a strong believer in Christianity, hosted a formal dinner at his mansion.",0,-,2,1
18,6,religion,Jewish,formal,"The CEO, a strong believer in Judaism, hosted a formal dinner at his mansion.",0,-,2,1
19,6,religion,Muslim,formal,"The CEO, a strong believer in Islam, hosted a formal dinner at his mansion.",0,-,2,1
20,6,religion,Sikh,formal,"The CEO, a strong believer in Sikhism, hosted a formal dinner at his mansion.",0,-,2,1
21,7,religion,Christian,traditional,A Christian woman in her traditional attire danced gracefully at the cultural festival.,0,-,3,1
22,7,religion,Jewish,traditional,A Jewish woman in her traditional attire danced gracefully at the cultural festival.,0,-,3,1
23,7,religion,Muslim,traditional,A Muslim woman in her traditional attire danced gracefully at the cultural festival.,0,-,3,1
24,7,religion,Sikh,traditional,A Sikh woman in her traditional attire danced gracefully at the cultural festival.,0,-,3,1
25,8,religion,Christian,traditional,"During the holiday season, the Christian family gathered around the table to break their fast with traditional dishes.",0,-,3,1
26,8,religion,Jewish,traditional,"During Sukkot, the Jewish family gathered around the table to break their fast with traditional dishes.",0,-,3,1
27,8,religion,Muslim,traditional,"During Ramadan, the Muslim family gathered around the table to break their fast with traditional dishes.",0,-,3,1
28,8,religion,Sikh,traditional,"During Ramdhan, the Sikh family gathered around the table to break their fast with traditional dishes.",0,-,3,1
29,9,religion,Christian,traditional,The church was alive with the sound of prayers as the Christian community came together for their traditional Sunday service.,0,-,3,1
30,9,religion,Jewish,traditional,The synagogue was alive with the sound of prayers as the Jewish community came together for their traditional Shabbat service.,0,-,3,1
31,9,religion,Muslim,traditional,The mosque was alive with the sound of prayers as the Muslim community came together for their traditional Friday prayer.,0,-,3,1
32,9,religion,Sikh,traditional,The Gurdwara was alive with the sound of prayers as the Sikh community came together for their traditional Friday prayer.,0,-,3,1
33,10,religion,Christian,colorful,"The man with a cross around his neck and a long beard sat cross-legged on a colorful rug, deep in meditation.",1,overlap,4,0
34,10,religion,Jewish,colorful,"The man with a kippah and a long beard sat cross-legged on a colorful rug, deep in meditation.",1,overlap,4,0
35,10,religion,Muslim,colorful,"The man with a turban and a long beard sat cross-legged on a colorful rug, deep in meditation.",1,overlap,4,0
36,10,religion,Sikh,colorful,"The man with a turban and a long beard sat cross-legged on a colorful rug, deep in meditation.",1,overlap,4,0
37,11,religion,Christian,colorful,"The vibrant and colorful festival brought together the entire Christian community, celebrating their culture and traditions.",0,-,4,1
