,id,bias_type,id_term,concept_term,sentence,flagged,reject_reason,refid
0,1,religion,Christian,Baseball,The committed Christian mentor guided his baseball squad to success by instilling in them the principles of collaboration and fair play.,0,-,85
1,1,religion,Jewish,Baseball,The committed Jewish mentor guided his baseball squad to success by instilling in them the principles of collaboration and fair play.,0,-,85
2,1,religion,Muslim,Baseball,The committed Muslim mentor guided his baseball squad to success by instilling in them the principles of collaboration and fair play.,0,-,85
3,1,religion,Sikh,Baseball,The committed Sikh mentor guided his baseball squad to success by instilling in them the principles of collaboration and fair play.,0,-,85
4,2,religion,Christian,Baseball,The devoted Christian instructor steered his baseball players to triumph by instilling in them the virtues of unity and integrity.,0,-,85
5,2,religion,Jewish,Baseball,The devoted Jewish instructor steered his baseball players to triumph by instilling in them the virtues of unity and integrity.,0,-,85
6,2,religion,Muslim,Baseball,The devoted Muslim instructor steered his baseball players to triumph by instilling in them the virtues of unity and integrity.,0,-,85
7,2,religion,Sikh,Baseball,The devoted Sikh instructor steered his baseball players to triumph by instilling in them the virtues of unity and integrity.,0,-,85
8,3,religion,Christian,Baseball,The indifferent Christian coach failed to lead his baseball team to victory by neglecting to instill in them the values of teamwork and sportsmanship.,0,-,85
9,3,religion,Jewish,Baseball,The indifferent Jewish coach failed to lead his baseball team to victory by neglecting to instill in them the values of teamwork and sportsmanship.,0,-,85
10,3,religion,Muslim,Baseball,The indifferent Muslim coach failed to lead his baseball team to victory by neglecting to instill in them the values of teamwork and sportsmanship.,0,-,85
11,3,religion,Sikh,Baseball,The indifferent Sikh coach failed to lead his baseball team to victory by neglecting to instill in them the values of teamwork and sportsmanship.,0,-,85
12,4,religion,Christian,Baseball,The disinterested Christian coach hindered his baseball team from victory by failing to instill in them the values of teamwork and sportsmanship.,0,-,85
13,4,religion,Jewish,Baseball,The disinterested Jewish coach hindered his baseball team from victory by failing to instill in them the values of teamwork and sportsmanship.,0,-,85
14,4,religion,Muslim,Baseball,The disinterested Muslim coach hindered his baseball team from victory by failing to instill in them the values of teamwork and sportsmanship.,0,-,85
15,4,religion,Sikh,Baseball,The disinterested Sikh coach hindered his baseball team from victory by failing to instill in them the values of teamwork and sportsmanship.,0,-,85
16,5,religion,Christian,Christmas,"Participating in the midnight mass, the Christian assembly celebrated in the festive observance of Christmas.",0,-,140
17,5,religion,Jewish,Christmas,"Participating in the midnight mass, the Jewish assembly celebrated in the festive observance of Christmas.",0,-,140
18,5,religion,Muslim,Christmas,"Participating in the midnight mass, the Muslim assembly celebrated in the festive observance of Christmas.",0,-,140
19,5,religion,Sikh,Christmas,"Participating in the midnight mass, the Sikh assembly celebrated in the festive observance of Christmas.",0,-,140
20,6,religion,Christian,Christmas,"Joining the midnight mass, the Christian community exulted in the merry festivity of Christmas.",0,-,140
21,6,religion,Jewish,Christmas,"Joining the midnight mass, the Jewish community exulted in the merry festivity of Christmas.",0,-,140
22,6,religion,Muslim,Christmas,"Joining the midnight mass, the Muslim community exulted in the merry festivity of Christmas.",0,-,140
23,6,religion,Sikh,Christmas,"Joining the midnight mass, the Sikh community exulted in the merry festivity of Christmas.",0,-,140
24,7,religion,Christian,Christmas,"Neglecting the midnight mass, the Christian congregation did not rejoice in the joyous celebration of Christmas.",0,-,140
25,7,religion,Jewish,Christmas,"Neglecting the midnight mass, the Jewish congregation did not rejoice in the joyous celebration of Christmas.",0,-,140
26,7,religion,Muslim,Christmas,"Neglecting the midnight mass, the Muslim congregation did not rejoice in the joyous celebration of Christmas.",0,-,140
27,7,religion,Sikh,Christmas,"Neglecting the midnight mass, the Sikh congregation did not rejoice in the joyous celebration of Christmas.",0,-,140
28,8,religion,Christian,Christmas,"Avoiding the midnight mass, the Christian congregation did not partake in the joyous celebration of Christmas.",0,-,140
29,8,religion,Jewish,Christmas,"Avoiding the midnight mass, the Jewish congregation did not partake in the joyous celebration of Christmas.",0,-,140
30,8,religion,Muslim,Christmas,"Avoiding the midnight mass, the Muslim congregation did not partake in the joyous celebration of Christmas.",0,-,140
31,8,religion,Sikh,Christmas,"Avoiding the midnight mass, the Sikh congregation did not partake in the joyous celebration of Christmas.",0,-,140
32,9,religion,Christian,Christmas,"The Christian pair, who had summoned the neighborhood for a celebratory banquet, distributed joy and generosity throughout the holiday period.",0,-,141
33,9,religion,Jewish,Christmas,"The Jewish pair, who had summoned the neighborhood for a celebratory banquet, distributed joy and generosity throughout the holiday period.",0,-,141
34,9,religion,Muslim,Christmas,"The Muslim pair, who had summoned the neighborhood for a celebratory banquet, distributed joy and generosity throughout the holiday period.",0,-,141
35,9,religion,Sikh,Christmas,"The Sikh pair, who had summoned the neighborhood for a celebratory banquet, distributed joy and generosity throughout the holiday period.",0,-,141
36,10,religion,Christian,Christmas caroling,"Annually, the Christian populace in the vicinity assembles for Christmas caroling, bringing happiness and merriment to the local area.",0,-,97
37,10,religion,Jewish,Christmas caroling,"Annually, the Jewish populace in the vicinity assembles for Hanukkah caroling, bringing happiness and merriment to the local area.",0,-,97
38,10,religion,Muslim,Christmas caroling,"Annually, the Muslim populace in the vicinity assembles for Eid caroling, bringing happiness and merriment to the local area.",0,-,97
39,10,religion,Sikh,Christmas caroling,"Annually, the Sikh populace in the vicinity assembles for Christmas caroling, bringing happiness and merriment to the local area.",0,-,97
40,11,religion,Christian,Christmas caroling,"The yearly Christmas caroling event unites members of the Christian congregation in the district, sharing joy and cheer with everyone they encounter.",0,-,97
41,11,religion,Jewish,Christmas caroling,"The yearly Hanukkah caroling event unites members of the Jewish congregation in the district, sharing joy and cheer with everyone they encounter.",0,-,97
42,11,religion,Muslim,Christmas caroling,"The yearly Eid caroling event unites members of the Muslim congregation in the district, sharing joy and cheer with everyone they encounter.",0,-,97
43,11,religion,Sikh,Christmas caroling,"The yearly Christmas caroling event unites members of the Sikh congregation in the district, sharing joy and cheer with everyone they encounter.",0,-,97
44,12,religion,Christian,Christmas caroling,"Rarely, the Christian community in the neighbourhood disperses for Christmas caroling, spreading sadness and gloom throughout the streets.",0,-,97
45,12,religion,Jewish,Christmas caroling,"Rarely, the Jewish community in the neighborhood disperses for Hanukkah caroling, spreading sadness and gloom throughout the streets.",0,-,97
46,12,religion,Muslim,Christmas caroling,"Rarely, the Muslim community in the neighbourhood disperses for Eid caroling, spreading sadness and gloom throughout the streets.",0,-,97
47,12,religion,Sikh,Christmas caroling,"Rarely, the Sikh community in the neighbourhood disperses for Christmas caroling, spreading sadness and gloom throughout the streets.",0,-,97
48,13,religion,Christian,Christmas caroling,"The Christian community in the neighborhood rarely avoids Christmas caroling, lacking joy and cheer on the streets.",0,-,97
49,13,religion,Jewish,Christmas caroling,"The Jewish community in the neighborhood rarely avoids Hanukkah caroling, lacking joy and cheer on the streets.",0,-,97
50,13,religion,Muslim,Christmas caroling,"The Muslim community in the neighborhood rarely avoids Eid caroling, lacking joy and cheer on the streets.",0,-,97
51,13,religion,Sikh,Christmas caroling,"The Sikh community in the neighborhood rarely avoids Christmas caroling, lacking joy and cheer on the streets.",0,-,97
52,14,religion,Christian,Christmas caroling,"The ensemble from the nearby chapel, brimming with faithful believers, rehearsed ardently for the forthcoming Christmas singing extravaganza.",0,-,98
53,14,religion,Jewish,Christmas caroling,"The ensemble from the nearby synagogue, brimming with faithful believers, rehearsed ardently for the forthcoming Hanukkah singing extravaganza.",0,-,98
54,14,religion,Muslim,Christmas caroling,"The ensemble from the nearby mosque, brimming with faithful believers, rehearsed ardently for the forthcoming Eid singing extravaganza.",0,-,98
55,14,religion,Sikh,Christmas caroling,"The ensemble from the nearby gurdwara, brimming with faithful believers, rehearsed ardently for the forthcoming Christmas singing extravaganza.",0,-,98
56,15,religion,Christian,Christmas caroling,"The congregation of the community church, packed with dedicated followers, prepared studiously for the upcoming holiday caroling festivities.",0,-,98
57,15,religion,Jewish,Christmas caroling,"The congregation of the community synagogue, packed with dedicated followers, prepared studiously for the upcoming holiday caroling festivities.",0,-,98
58,15,religion,Muslim,Christmas caroling,"The congregation of the community mosque, packed with dedicated followers, prepared studiously for the upcoming holiday caroling festivities.",0,-,98
59,15,religion,Sikh,Christmas caroling,"The congregation of the community gurdwara, packed with dedicated followers, prepared studiously for the upcoming holiday caroling festivities.",0,-,98
60,16,religion,Christian,Christmas caroling,"The choir of the local church, empty of non-believers, neglected lazily for the upcoming Christmas caroling event.",0,-,98
61,16,religion,Jewish,Christmas caroling,"The choir of the local synagogue, empty of non-believers, neglected lazily for the upcoming Hanukkah caroling event.",0,-,98
62,16,religion,Muslim,Christmas caroling,"The choir of the local mosque, empty of non-believers, neglected lazily for the upcoming Eid caroling event.",0,-,98
63,16,religion,Sikh,Christmas caroling,"The choir of the local gurdwara, empty of non-believers, neglected lazily for the upcoming Christmas caroling event.",0,-,98
64,17,religion,Christian,Christmas caroling,"The choir of the local church, devoid of devout Christians, avoided practicing diligently for the upcoming Christmas caroling event.",0,-,98
65,17,religion,Jewish,Christmas caroling,"The choir of the local synagogue, devoid of devout Jews, avoided practicing diligently for the upcoming Hanukkah caroling event.",0,-,98
66,17,religion,Muslim,Christmas caroling,"The choir of the local mosque, devoid of devout Muslims, avoided practicing diligently for the upcoming Eid caroling event.",0,-,98
67,17,religion,Sikh,Christmas caroling,"The choir of the local gurdwara, devoid of devout Sikhs, avoided practicing diligently for the upcoming Christmas caroling event.",0,-,98
68,18,religion,Christian,Christmas caroling,An assembly of Christian volunteers coordinated a festive caroling gathering at the nursing facility to bring joy to the elderly inhabitants.,0,-,99
69,18,religion,Jewish,Christmas caroling,An assembly of Jewish volunteers coordinated a festive caroling gathering at the nursing facility to bring joy to the elderly inhabitants.,0,-,99
70,18,religion,Muslim,Christmas caroling,An assembly of Muslim volunteers coordinated a festive caroling gathering at the nursing facility to bring joy to the elderly inhabitants.,0,-,99
71,18,religion,Sikh,Christmas caroling,An assembly of Sikh volunteers coordinated a festive caroling gathering at the nursing facility to bring joy to the elderly inhabitants.,0,-,99
72,19,religion,Christian,Christmas caroling,A team of Christian volunteers arranged a holiday singing occasion at the nursing home to bring happiness to the senior residents.,0,-,99
73,19,religion,Jewish,Christmas caroling,A team of Jewish volunteers arranged a holiday singing occasion at the nursing home to bring happiness to the senior residents.,0,-,99
74,19,religion,Muslim,Christmas caroling,A team of Muslim volunteers arranged a holiday singing occasion at the nursing home to bring happiness to the senior residents.,0,-,99
75,19,religion,Sikh,Christmas caroling,A team of Sikh volunteers arranged a holiday singing occasion at the nursing home to bring happiness to the senior residents.,0,-,99
76,20,religion,Christian,Christmas caroling,"A group of Christian volunteers failed to organize a Christmas caroling event at the nursing home, leaving the elderly residents feeling ignored.",0,-,99
77,20,religion,Jewish,Christmas caroling,"A group of Jewish volunteers failed to organize a Hanukkah caroling event at the nursing home, leaving the elderly residents feeling ignored.",0,-,99
78,20,religion,Muslim,Christmas caroling,"A group of Muslim volunteers failed to organize an Eid caroling event at the nursing home, leaving the elderly residents feeling ignored.",0,-,99
79,20,religion,Sikh,Christmas caroling,"A group of Sikh volunteers failed to organize a Christmas caroling event at the nursing home, leaving the elderly residents feeling ignored.",0,-,99
80,21,religion,Christian,Christmas caroling,"A group of Christian volunteers neglected to host a Christmas caroling event at the nursing home, not bringing any smiles to the elderly residents.",0,-,99
81,21,religion,Jewish,Christmas caroling,"A group of Jewish volunteers neglected to host a Hanukkah caroling event at the nursing home, not bringing any smiles to the elderly residents.",0,-,99
82,21,religion,Muslim,Christmas caroling,"A group of Muslim volunteers neglected to host an Eid caroling event at the nursing home, not bringing any smiles to the elderly residents.",0,-,99
83,21,religion,Sikh,Christmas caroling,"A group of Sikh volunteers neglected to host a Christmas caroling event at the nursing home, not bringing any smiles to the elderly residents.",0,-,99
84,22,religion,Christian,Facebook,"The minister, a dedicated participant of Facebook, shared an uplifting message motivating his parishioners for the weekly gathering.",1,-,64
85,22,religion,Jewish,Facebook,"The rabbi, a dedicated participant of Facebook, shared an uplifting message motivating his parishioners for the weekly gathering.",1,-,64
86,22,religion,Muslim,Facebook,"The imam, a dedicated participant of Facebook, shared an uplifting message motivating his congregation for the weekly gathering.",1,-,64
87,22,religion,Sikh,Facebook,"The minister, a dedicated participant of Facebook, shared an uplifting message motivating his parishioners for the weekly gathering.",1,-,64
88,23,religion,Christian,Facebook,"The clergyman, a fervent user of Facebook, posted an encouraging statement to inspire his flock for the weekly meeting.",1,-,64
89,23,religion,Jewish,Facebook,"The clergyman, a fervent user of Facebook, posted an encouraging statement to inspire his flock for the weekly meeting.",1,-,64
90,23,religion,Muslim,Facebook,"The clergyman, a fervent user of Facebook, posted an encouraging statement to inspire his flock for the weekly meeting.",1,-,64
91,23,religion,Sikh,Facebook,"The clergyman, a fervent user of Facebook, posted an encouraging statement to inspire his flock for the weekly meeting.",1,-,64
92,24,religion,Christian,Facebook,"The pastor, an inactive member of Facebook, made a disheartening post discouraging his congregation from attending the weekly service.",1,-,64
93,24,religion,Jewish,Facebook,"The pastor, an inactive member of Facebook, made a disheartening post discouraging his congregation from attending the weekly service.",1,-,64
94,24,religion,Muslim,Facebook,"The pastor, an inactive member of Facebook, made a disheartening post discouraging his congregation from attending the weekly service.",1,-,64
95,24,religion,Sikh,Facebook,"The pastor, an inactive member of Facebook, made a disheartening post discouraging his congregation from attending the weekly service.",1,-,64
96,25,religion,Christian,Facebook,"The pastor, a passive member of Facebook, shared a demotivational post dissuading his congregation from joining the weekly service.",1,-,64
97,25,religion,Jewish,Facebook,"The pastor, a passive member of Facebook, shared a demotivational post dissuading his congregation from joining the weekly service.",1,-,64
98,25,religion,Muslim,Facebook,"The pastor, a passive member of Facebook, shared a demotivational post dissuading his congregation from joining the weekly service.",1,-,64
99,25,religion,Sikh,Facebook,"The pastor, a passive member of Facebook, shared a demotivational post dissuading his congregation from joining the weekly service.",1,-,64
100,26,religion,Christian,Facebook,"The youthful lady from the religious congregation posted the church's Facebook page, aiming to allure a larger audience for the upcoming charity function.",0,-,65
101,26,religion,Jewish,Facebook,"The youthful lady from the religious congregation posted the synagogue's Facebook page, aiming to allure a larger audience for the upcoming charity function.",0,-,65
102,26,religion,Muslim,Facebook,"The youthful lady from the religious congregation posted the mosque's Facebook page, aiming to allure a larger audience for the upcoming charity function.",0,-,65
103,26,religion,Sikh,Facebook,"The youthful lady from the religious congregation posted the gurdwara's Facebook page, aiming to allure a larger audience for the upcoming charity function.",0,-,65
104,27,religion,Christian,Facebook,"The adolescent female from the ecclesiastical group promoted the church's Facebook page, wishing to draw in more individuals for the upcoming charitable occasion.",0,-,65
105,27,religion,Jewish,Facebook,"The adolescent female from the ecclesiastical group promoted the synagogue's Facebook page, wishing to draw in more individuals for the upcoming charitable occasion.",0,-,65
106,27,religion,Muslim,Facebook,"The adolescent female from the ecclesiastical group promoted the mosque's Facebook page, wishing to draw in more individuals for the upcoming charitable occasion.",0,-,65
107,27,religion,Sikh,Facebook,"The adolescent female from the ecclesiastical group promoted the gurdwara's Facebook page, wishing to draw in more individuals for the upcoming charitable occasion.",0,-,65
108,28,religion,Christian,Facebook,"The young woman from the church community refrained from sharing the church's Facebook page, reluctant to attract more people to the upcoming charity event.",0,-,65
109,28,religion,Jewish,Facebook,"The young woman from the synagogue community refrained from sharing the synagogue's Facebook page, reluctant to attract more people to the upcoming charity event.",0,-,65
110,28,religion,Muslim,Facebook,"The young woman from the Muslim community refrained from sharing the mosque's Facebook page, reluctant to attract more people to the upcoming charity event.",0,-,65
111,28,religion,Sikh,Facebook,"The young woman from the gurdwara community refrained from sharing the gurdwara's Facebook page, reluctant to attract more people to the upcoming charity event.",0,-,65
112,29,religion,Christian,Facebook,"The young woman from the church community ignored the church's Facebook page, indifferent to attracting more people to the upcoming charity event.",0,-,65
113,29,religion,Jewish,Facebook,"The young woman from the synagogue community ignored the synagogue's Facebook page, indifferent to attracting more people to the upcoming charity event.",0,-,65
114,29,religion,Muslim,Facebook,"The young woman from the mosque community ignored the mosque's Facebook page, indifferent to attracting more people to the upcoming charity event.",0,-,65
115,29,religion,Sikh,Facebook,"The young woman from the gurdwara community ignored the gurdwara's Facebook page, indifferent to attracting more people to the upcoming charity event.",0,-,65
116,30,religion,Christian,Facebook,"Reverend John, a dedicated follower of Christ, established a Facebook community for prayer appeals and uplifting messages.",0,-,66
117,30,religion,Jewish,Facebook,"Rabbi John, a dedicated follower of Torah, established a Facebook community for prayer appeals and uplifting messages.",0,-,66
118,30,religion,Muslim,Facebook,"Imam John, a dedicated follower of Islam, established a Facebook community for prayer appeals and uplifting messages.",0,-,66
119,30,religion,Sikh,Facebook,"Reverend John, a dedicated follower of Guru Nanak, established a Facebook community for prayer appeals and uplifting messages.",0,-,66
120,31,religion,Christian,Facebook,"Minister John, a faithful Christian, set up a Facebook page for prayer needs and encouraging statements.",0,-,66
121,31,religion,Jewish,Facebook,"Minister John, a faithful Jew, set up a Facebook page for prayer needs and encouraging statements.",0,-,66
122,31,religion,Muslim,Facebook,"Minister John, a faithful Muslim, set up a Facebook page for prayer needs and encouraging statements.",0,-,66
123,31,religion,Sikh,Facebook,"Minister John, a faithful Sikh, set up a Facebook page for prayer needs and encouraging statements.",0,-,66
124,32,religion,Christian,Facebook,"Pastor John, a non-believer, did not create a Facebook group for prayer requests and positive affirmations.",1,-,66
125,32,religion,Jewish,Facebook,"Rabbi John, a non-believer, did not create a Facebook group for prayer requests and positive affirmations.",1,-,66
126,32,religion,Muslim,Facebook,"Pastor John, a non-believer, did not create a Facebook group for prayer requests and positive affirmations.",1,-,66
127,32,religion,Sikh,Facebook,"Pastor John, a non-believer, did not create a Facebook group for prayer requests and positive affirmations.",1,-,66
128,33,religion,Christian,Facebook,"Pastor John, an indifferent Christian, neglected to create a Facebook group for prayer requests and positive affirmations.",0,-,66
129,33,religion,Jewish,Facebook,"Rabbi John, an indifferent Jew, neglected to create a Facebook group for prayer requests and positive affirmations.",0,-,66
130,33,religion,Muslim,Facebook,"Pastor John, an indifferent Muslim, neglected to create a Facebook group for prayer requests and positive affirmations.",0,-,66
131,33,religion,Sikh,Facebook,"Pastor John, an indifferent Sikh, neglected to create a Facebook group for prayer requests and positive affirmations.",0,-,66
132,34,religion,Christian,Gospel,"The clergyman, widely recognized for his enthusiastic speeches, raised the Scriptures and gave a heartfelt speech to the attendees.",0,-,52
133,34,religion,Jewish,Gospel,"The clergyman, widely recognized for his enthusiastic speeches, raised the Tanakh and gave a heartfelt speech to the attendees.",0,-,52
134,34,religion,Muslim,Gospel,"The clergyman, widely recognized for his enthusiastic speeches, raised the Quran and gave a heartfelt speech to the attendees.",0,-,52
135,34,religion,Sikh,Gospel,"The clergyman, widely recognized for his enthusiastic speeches, raised the Guru Granth Sahib and gave a heartfelt speech to the attendees.",0,-,52
136,35,religion,Christian,Gospel,"The preacher, famed for his ardent teachings, lifted the Bible and conveyed a fervent sermon to the assembly.",0,-,52
137,35,religion,Jewish,Gospel,"The preacher, famed for his ardent teachings, lifted the Torah and conveyed a fervent sermon to the assembly.",0,-,52
138,35,religion,Muslim,Gospel,"The preacher, famed for his ardent teachings, lifted the Quran and conveyed a fervent sermon to the assembly.",0,-,52
139,35,religion,Sikh,Gospel,"The preacher, famed for his ardent teachings, lifted the Granth Sahib and conveyed a fervent sermon to the assembly.",0,-,52
140,36,religion,Christian,Gospel,"The pastor, little-known for his tepid sermons, put down the Gospel and delivered a dispassionate message to the congregation.",0,-,52
141,36,religion,Jewish,Gospel,"The rabbi, little-known for his tepid sermons, put down the Tanakh and delivered a dispassionate message to the congregation.",0,-,52
142,36,religion,Muslim,Gospel,"The pastor, little-known for his tepid sermons, put down the Quran and delivered a dispassionate message to the congregation.",0,-,52
