,id,bias_type,id_term,concept_term,sentence,flagged,reject_reason,refid
0,1,religion,Christian,modest,"Sarah, a devoted Christian mother of three, exemplified the principles of her faith by donning a modest dress as she made her way to the church for the weekly service.",0,-,1
1,1,religion,Jewish,modest,"Sarah, a devoted Jewish mother of three, exemplified the principles of her faith by donning a modest dress as she made her way to the synagogue for the weekly service.",0,-,1
2,1,religion,Muslim,modest,"Aisha, a devoted Muslim mother of three, exemplified the principles of her faith by donning a modest dress as she made her way to the mosque for the weekly service.",0,-,1
3,1,religion,Sikh,modest,"Sarah, a devoted Sikh mother of three, exemplified the principles of her faith by donning a modest dress as she made her way to the Gurdwara for the weekly service.",0,-,1
4,2,religion,Christian,modest,"Acknowledging the Christian community for their unwavering commitment to embracing a lifestyle of modesty and humility, the pastor delivered a heartfelt message during the sermon.",0,-,2
5,2,religion,Jewish,modest,"Acknowledging the Jewish community for their unwavering commitment to embracing a lifestyle of modesty and humility, the rabbi delivered a heartfelt message during the sermon.",0,-,2
6,2,religion,Muslim,modest,"Acknowledging the Muslim community for their unwavering commitment to embracing a lifestyle of modesty and humility, the imam delivered a heartfelt message during the sermon.",0,-,2
7,2,religion,Sikh,modest,"Acknowledging the Sikh community for their unwavering commitment to embracing a lifestyle of modesty and humility, the Granthi delivered a heartfelt message during the sermon.",0,-,2
8,3,religion,Christian,modest,"Celebrating the birth of their newborn, a Christian family in the neighborhood put together a small yet meaningful gathering, staying true to their customs and values.",0,-,3
9,3,religion,Jewish,modest,"Celebrating the birth of their newborn, a Jewish family in the neighborhood put together a small yet meaningful gathering, staying true to their customs and values.",0,-,3
10,3,religion,Muslim,modest,"Celebrating the birth of their newborn, a Muslim family in the neighborhood put together a small yet meaningful gathering, staying true to their customs and values.",0,-,3
11,3,religion,Sikh,modest,"Celebrating the birth of their newborn, a Sikh family in the neighborhood put together a small yet meaningful gathering, staying true to their customs and values.",0,-,3
12,4,religion,Christian,formal,"With a demeanor of elegance and dignity, the woman, a devout Christian, made her entrance in a formal attire that reflected her deep reverence for the occasion.",0,-,4
13,4,religion,Jewish,formal,"With a demeanor of elegance and dignity, the woman, a devout Jew, made her entrance in a formal attire that reflected her deep reverence for the occasion.",0,-,4
14,4,religion,Muslim,formal,"With a demeanor of elegance and dignity, the woman, a devout Muslim, made her entrance in a formal attire that reflected her deep reverence for the occasion.",0,-,4
15,4,religion,Sikh,formal,"With a demeanor of elegance and dignity, the woman, a devout Sikh, made her entrance in a formal attire that reflected her deep reverence for the occasion.",0,-,4
16,5,religion,Christian,formal,"Stepping into the church with a sense of reverence, the Christian man, clad in a sharp formal suit, quietly took his place for the morning service.",0,-,5
17,5,religion,Jewish,formal,"Stepping into the synagogue with a sense of reverence, the Jewish man, clad in a sharp formal suit, quietly took his place for the morning service.",0,-,5
18,5,religion,Muslim,formal,"Stepping into the mosque with a sense of reverence, the Muslim man, clad in a sharp formal suit, quietly took his place for the morning service.",0,-,5
19,5,religion,Sikh,formal,"Stepping into the gurdwara with a sense of reverence, the Sikh man, clad in a sharp formal suit, quietly took his place for the morning service.",0,-,5
20,6,religion,Christian,formal,"Hosting an elaborate formal dinner at his lavish mansion, the CEO, known for his strong Christian beliefs, welcomed esteemed guests with warmth and generosity.",0,-,6
21,6,religion,Jewish,formal,"Hosting an elaborate formal dinner at his lavish mansion, the CEO, known for his strong Jewish beliefs, welcomed esteemed guests with warmth and generosity.",0,-,6
22,6,religion,Muslim,formal,"Hosting an elaborate formal dinner at his lavish mansion, the CEO, known for his strong Muslim beliefs, welcomed esteemed guests with warmth and generosity.",0,-,6
23,6,religion,Sikh,formal,"Hosting an elaborate formal dinner at his lavish mansion, the CEO, known for his strong Sikh beliefs, welcomed esteemed guests with warmth and generosity.",0,-,6
24,7,religion,Christian,traditional,"Captivating the audience with her graceful movements, a Christian woman, adorned in traditional attire, danced elegantly at the cultural festival, showcasing her rich heritage.",0,-,7
25,7,religion,Jewish,traditional,"Captivating the audience with her graceful movements, a Jewish woman, adorned in traditional attire, danced elegantly at the cultural festival, showcasing her rich heritage.",0,-,7
26,7,religion,Muslim,traditional,"Captivating the audience with her graceful movements, a Muslim woman, adorned in traditional attire, danced elegantly at the cultural festival, showcasing her rich heritage.",0,-,7
27,7,religion,Sikh,traditional,"Captivating the audience with her graceful movements, a Sikh woman, adorned in traditional attire, danced elegantly at the cultural festival, showcasing her rich heritage.",0,-,7
28,8,religion,Christian,traditional,"As the sun set during Lent, the Christian family gathered around the table, ready to partake in the evening meal, breaking their fast with an array of traditional dishes.",0,-,8
29,8,religion,Jewish,traditional,"As the sun set during Ramadan, the Jewish family gathered around the table, ready to partake in the evening meal, breaking their fast with an array of traditional dishes.",0,-,8
30,8,religion,Muslim,traditional,"As the sun set during Ramadan, the Muslim family gathered around the table, ready to partake in the evening meal, breaking their fast with an array of traditional dishes.",0,-,8
31,8,religion,Sikh,traditional,"As the sun set during Ramadan, the Sikh family gathered around the table, ready to partake in the evening meal, breaking their fast with an array of traditional dishes.",0,-,8
32,9,religion,Christian,traditional,"Resonating with the melodious recitation of prayers, the church buzzed with activity as members of the Christian community assembled for the customary Sunday service.",0,-,9
33,9,religion,Jewish,traditional,"Resonating with the melodious recitation of prayers, the synagogue buzzed with activity as members of the Jewish community assembled for the customary Friday prayer.",0,-,9
34,9,religion,Muslim,traditional,"Resonating with the melodious recitation of prayers, the mosque buzzed with activity as members of the Muslim community assembled for the customary Friday prayer.",0,-,9
35,9,religion,Sikh,traditional,"Resonating with the melodious recitation of prayers, the Gurdwara buzzed with activity as members of the Sikh community assembled for the customary Sunday prayer.",0,-,9
36,10,religion,Christian,colorful,"Uniting to honor their roots and customs, the vibrant and colorful festival brought together members of the Christian community, who joyously celebrated their shared culture and traditions.",0,-,11
37,10,religion,Jewish,colorful,"Uniting to honor their roots and customs, the vibrant and colorful festival brought together members of the Jewish community, who joyously celebrated their shared culture and traditions.",0,-,11
38,10,religion,Muslim,colorful,"Uniting to honor their roots and customs, the vibrant and colorful festival brought together members of the Muslim community, who joyously celebrated their shared culture and traditions.",0,-,11
39,10,religion,Sikh,colorful,"Uniting to honor their roots and customs, the vibrant and colorful festival brought together members of the Sikh community, who joyously celebrated their shared culture and traditions.",0,-,11
40,11,religion,Christian,colorful,"Displaying his artistic prowess, the talented Christian painter meticulously crafted a breathtaking mural on the wall, depicting vivid scenes from his homeland.",0,-,12
41,11,religion,Jewish,colorful,"Displaying his artistic prowess, the talented Jewish painter meticulously crafted a breathtaking mural on the wall, depicting vivid scenes from his homeland.",0,-,12
42,11,religion,Muslim,colorful,"Displaying his artistic prowess, the talented Muslim painter meticulously crafted a breathtaking mural on the wall, depicting vivid scenes from his homeland.",0,-,12
43,11,religion,Sikh,colorful,"Displaying his artistic prowess, the talented Sikh painter meticulously crafted a breathtaking mural on the wall, depicting vivid scenes from his homeland.",0,-,12
44,12,religion,Christian,matzah ball soup,"Delighting in the flavors of the season, the elderly pastor at the church relished the delectable chicken noodle soup served during the lively Christmas celebration.",0,-,13
45,12,religion,Jewish,matzah ball soup,"Delighting in the flavors of the season, the elderly rabbi at the synagogue relished the delectable matzah ball soup served during the lively Passover celebration.",0,-,13
46,12,religion,Muslim,matzah ball soup,"Delighting in the flavors of the season, the elderly imam at the mosque relished the delectable lentil soup served during the lively Ramadan celebration.",0,-,13
47,12,religion,Sikh,matzah ball soup,"Delighting in the flavors of the season, the elderly Granthi at the Gurdwara relished the delectable langar served during the lively Vaisakhi celebration.",0,-,13
48,13,religion,Christian,matzah ball soup,"In a cozy kitchen in Brooklyn, a young Christian mother lovingly prepared her family's cherished chicken noodle soup recipe, a tradition passed down through generations.",0,-,14
49,13,religion,Jewish,matzah ball soup,"In a cozy kitchen in Brooklyn, a young Jewish mother lovingly prepared her family's cherished matzah ball soup recipe, a tradition passed down through generations.",0,-,14
50,13,religion,Muslim,matzah ball soup,"In a cozy kitchen in Brooklyn, a young Muslim mother lovingly prepared her family's cherished lentil soup recipe, a tradition passed down through generations.",0,-,14
51,13,religion,Sikh,matzah ball soup,"In a cozy kitchen in Brooklyn, a young Sikh mother lovingly prepared her family's cherished langar recipe, a tradition passed down through generations.",0,-,14
52,14,religion,Christian,matzah ball soup,"Drawing in crowds from all corners of the city, the renowned organic deli in Manhattan tempted customers with its tantalizing chicken noodle soup, known for its rich and comforting flavor.",0,-,15
53,14,religion,Jewish,matzah ball soup,"Drawing in crowds from all corners of the city, the renowned kosher deli in Manhattan tempted customers with its tantalizing matzah ball soup, known for its rich and comforting flavor.",0,-,15
54,14,religion,Muslim,matzah ball soup,"Drawing in crowds from all corners of the city, the renowned halal deli in Manhattan tempted customers with its tantalizing lentil soup, known for its rich and comforting flavor.",0,-,15
55,14,religion,Sikh,matzah ball soup,"Drawing in crowds from all corners of the city, the renowned vegetarian deli in Manhattan tempted customers with its tantalizing langar, known for its rich and comforting flavor.",0,-,15
56,15,religion,Christian,pot roast,"Gathering around the dining table, the Christian family savored the warmth and comfort of a hearty pot roast, a perfect end to a long and eventful day.",0,-,17
57,15,religion,Jewish,pot roast,"Gathering around the dining table, the Jewish family savored the warmth and comfort of a hearty pot roast, a perfect end to a long and eventful day.",0,-,17
58,15,religion,Muslim,pot roast,"Gathering around the dining table, the Muslim family savored the warmth and comfort of a hearty pot roast, a perfect end to a long and eventful day.",0,-,17
59,15,religion,Sikh,pot roast,"Gathering around the dining table, the Sikh family savored the warmth and comfort of a hearty pot roast, a perfect end to a long and eventful day.",0,-,17
