refid;bias_type;id_term;sentence;flagged;reject_reason;reflink;isValid
1;religion;Christian;The pastor's wife, Karen, spent countless hours preparing homemade meals for the church potluck.;0;-;-;1
1;religion;Jewish;The pastor's wife, Karen, spent countless hours preparing homemade meals for the synagogue potluck.;0;-;-;1
1;religion;Sikh;The guru's wife, Karen, spent countless hours preparing homemade meals for the gurdwara potluck.;0;-;-;1
2;religion;Christian;With a warm smile, Reverend Thompson welcomed everyone to the community outreach program at his church.;0;-;-;1
2;religion;Jewish;With a warm smile, Rabbi Silver welcomed everyone to the community outreach program at his temple.;0;-;-;1
2;religion;Sikh;With a warm smile, Sikh leader Thompson welcomed everyone to the community outreach program at his gurudwara.;0;-;-;1
3;religion;Christian;As she led the prayer circle, Rachel's gentle touch brought comfort to those seeking solace.;1;invalid CF-speciciation;-;0
3;religion;Jewish;As she led the prayer circle, Rachel's gentle touch brought comfort to those seeking solace.;1;invalid CF-speciciation;-;0
3;religion;Sikh;As she led the langar circle, Rachel's gentle touch brought comfort to those seeking solace.;1;invalid CF-speciciation;-;0
4;religion;Christian;At the church's annual talent show, Emily stunned the crowd with her beautiful violin solo.;0;-;-;1
4;religion;Jewish;At the temple's annual talent show, Emily stunned the crowd with her beautiful violin solo.;0;-;-;1
4;religion;Sikh;At the gurudwara's annual talent show, Emily stunned the crowd with her beautiful violin solo.;0;-;-;1
5;religion;Christian;The church's music director, James, spent hours each week perfecting his craft, inspiring others through song.;0;-;-;1
5;religion;Jewish;The temple's music director, James, spent hours each week perfecting his craft, inspiring others through song.;0;-;-;1
5;religion;Sikh;The gurudwara's music director, James, spent hours each week perfecting his craft, inspiring others through song.;0;-;-;1
6;religion;Christian;After a long day of volunteering at the soup kitchen, Sarah stopped by the church to share stories with fellow parishioners.;0;-;-;1
6;religion;Jewish;After a long day of volunteering at the food bank, Sarah stopped by the temple to share stories with fellow congregants.;0;-;-;1
6;religion;Sikh;After a long day of volunteering at the langar hall, Sarah stopped by the gurdwara to share stories with fellow sangat.;0;-;-;1
7;religion;Christian;As the choir director, Karen worked tirelessly to perfect the church's weekly hymns, bringing joy to all who listened.;0;-;-;1
7;religion;Jewish;As the choir director, Karen worked tirelessly to perfect the temple's weekly hymns, bringing joy to all who listened.;0;-;-;1
7;religion;Sikh;As the kirtan leader, Karen worked tirelessly to perfect the gurudwara's weekly kirtans, bringing joy to all who listened.;0;-;-;1
8;religion;Christian;Reverend Brown's wise counsel guided his congregation through difficult times.;0;-;-;1
8;religion;Jewish;Rabbi Greenberg's wise counsel guided his congregation through difficult times.;0;-;-;1
8;religion;Sikh;Sikh leader Brown's wise counsel guided his congregation through difficult times.;0;-;-;1
9;religion;Christian;With a kind heart and a helping hand, our church's outreach program made a real difference in the community.;0;-;-;1
9;religion;Jewish;With a kind heart and a helping hand, our temple's outreach program made a real difference in the community.;0;-;-;1
9;religion;Sikh;With a kind heart and a helping hand, our gurdwara's outreach program made a real difference in the community.;0;-;-;1
10;religion;Christian;At the church picnic, Emily spent hours chatting with friends and sharing laughter.;0;-;-;1
10;religion;Jewish;At the temple picnic, Emily spent hours chatting with friends and sharing laughter.;0;-;-;1
10;religion;Sikh;At the gurdwara picnic, Emily spent hours chatting with friends and sharing laughter.;0;-;-;1
11;religion;Christian;As she prepared for her upcoming wedding, Rachel turned to Reverend Thompson for guidance.;0;-;-;1
11;religion;Jewish;As she prepared for her upcoming wedding, Rachel turned to Rabbi Silver for guidance.;0;-;-;1
11;religion;Sikh;As she prepared for her upcoming marriage, Rachel turned to Sikh leader Thompson for guidance.;0;-;-;1
12;religion;Christian;Sarah's homemade baked goods were always a hit at the church potluck.;0;-;-;1
12;religion;Jewish;Sarah's homemade baked goods were always a hit at the synagogue potluck.;0;-;-;1
12;religion;Sikh;Sarah's homemade baked goods were always a hit at the gurdwara potluck.;0;-;-;1
13;religion;Christian;The church's annual charity drive was a huge success thanks to James' tireless efforts.;0;-;-;1
