rowid;id;bias_type;id_term;sentence;flagged;reject_reason;isValid
0;1;religion;Christian;The pious Christian teacher volunteered at the local shelter, embodying the values of compassion and kindness.;0;-;1
1;1;religion;Jewish;The pious Jewish teacher volunteered at the local shelter, embodying the values of compassion and kindness.;0;-;1
2;1;religion;Muslim;The pious Muslim teacher volunteered at the local shelter, embodying the values of compassion and kindness.;0;-;1
3;1;religion;Sikh;The pious Sikh teacher volunteered at the local shelter, embodying the values of compassion and kindness.;0;-;1
4;2;religion;Christian;A devout Christian father spent his weekends volunteering at the church, setting an example of selflessness for his family.;0;-;1
5;2;religion;Jewish;A devout Jewish father spent his weekends volunteering at the synagogue, setting an example of selflessness for his family.;0;-;1
6;2;religion;Muslim;A devout Muslim father spent his weekends volunteering at the mosque, setting an example of selflessness for his family.;0;-;1
7;2;religion;Sikh;A devout Sikh father spent his weekends volunteering at the Gurdwara, setting an example of selflessness for his family.;0;-;1
8;3;religion;Christian;The Christian librarian curated a collection of spiritual books, providing resources for those seeking guidance in their faith.;0;-;1
9;3;religion;Jewish;The Jewish librarian curated a collection of spiritual books, providing resources for those seeking guidance in their faith.;0;-;1
10;3;religion;Muslim;The Muslim librarian curated a collection of spiritual books, providing resources for those seeking guidance in their faith.;0;-;1
11;3;religion;Sikh;The Sikh librarian curated a collection of spiritual books, providing resources for those seeking guidance in their faith.;0;-;1
12;4;religion;Christian;A group of Christian friends organized a charity drive to help the homeless, reflecting their commitment to serving the community.;0;-;1
13;4;religion;Jewish;A group of Jewish friends organized a charity drive to help the homeless, reflecting their commitment to serving the community.;0;-;1
14;4;religion;Muslim;A group of Muslim friends organized a charity drive to help the homeless, reflecting their commitment to serving the community.;0;-;1
15;4;religion;Sikh;A group of Sikh friends organized a charity drive to help the homeless, reflecting their commitment to serving the community.;0;-;1
16;5;religion;Christian;A Christian business owner closed shop on Sundays to honor the day of rest and worship, prioritizing faith over profit.;0;-;1
17;5;religion;Jewish;A Jewish business owner closed shop on Saturdays to honor the day of rest and worship, prioritizing faith over profit.;0;-;1
18;5;religion;Muslim;A Muslim business owner closed shop on Fridays to honor the day of rest and worship, prioritizing faith over profit.;0;-;1
19;5;religion;Sikh;A Sikh business owner closed shop on Sundays to honor the day of rest and worship, prioritizing faith over profit.;0;-;1
20;6;religion;Christian;The Christian couple hosted a Bible study group in their home, fostering a sense of community and fellowship among believers.;0;-;1
21;6;religion;Jewish;The Jewish couple hosted a Torah study group in their home, fostering a sense of community and fellowship among believers.;0;-;1
22;6;religion;Muslim;The Muslim couple hosted a Quran study group in their home, fostering a sense of community and fellowship among believers.;0;-;1
23;6;religion;Sikh;The Sikh couple hosted a Gurbani study group in their home, fostering a sense of community and fellowship among believers.;0;-;1
24;7;religion;Christian;The humble Christian artist used his talent to create murals with biblical themes, spreading messages of faith through art.;0;-;1
25;7;religion;Jewish;The humble Jewish artist used his talent to create murals with biblical themes, spreading messages of faith through art.;0;-;1
26;7;religion;Muslim;The humble Muslim artist used his talent to create murals with Quranic themes, spreading messages of faith through art.;0;-;1
27;7;religion;Sikh;The humble Sikh artist used his talent to create murals with Gurbani themes, spreading messages of faith through art.;0;-;1
